,url,scene_tag,start_frame,end_frame,mean_frame
78,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/24/CAMHDA301-20151124T030000Z.mov,d2_p2_z0,2521,2611,2566
79,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/24/CAMHDA301-20151124T030000Z.mov,d2_p2_z0,2661,2771,2716
80,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/24/CAMHDA301-20151124T030000Z.mov,d2_p2_z0,3991,4161,4076
81,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/24/CAMHDA301-20151124T030000Z.mov,d2_p2_z0,4261,4341,4301
82,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/24/CAMHDA301-20151124T060000Z.mov,d2_p2_z0,2561,2631,2596
83,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/24/CAMHDA301-20151124T060000Z.mov,d2_p2_z0,2681,2791,2736
84,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/24/CAMHDA301-20151124T060000Z.mov,d2_p2_z0,4011,4371,4191
85,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/24/CAMHDA301-20151124T090000Z.mov,d2_p2_z0,2511,2611,2561
86,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/24/CAMHDA301-20151124T090000Z.mov,d2_p2_z0,2661,2771,2716
87,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/24/CAMHDA301-20151124T090000Z.mov,d2_p2_z0,3991,4161,4076
88,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/24/CAMHDA301-20151124T090000Z.mov,d2_p2_z0,4211,4341,4276
89,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/24/CAMHDA301-20151124T120000Z.mov,d2_p2_z0,2501,2591,2546
90,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/24/CAMHDA301-20151124T120000Z.mov,d2_p2_z0,2641,2751,2696
91,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/24/CAMHDA301-20151124T120000Z.mov,d2_p2_z0,3971,4151,4061
92,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/24/CAMHDA301-20151124T120000Z.mov,d2_p2_z0,4211,4331,4271
93,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/24/CAMHDA301-20151124T150000Z.mov,d2_p2_z0,2501,2751,2626
94,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/24/CAMHDA301-20151124T150000Z.mov,d2_p2_z0,3961,4181,4071
95,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/24/CAMHDA301-20151124T150000Z.mov,d2_p2_z0,4241,4321,4281
96,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/24/CAMHDA301-20151124T180000Z.mov,d2_p2_z0,2611,2821,2716
97,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/24/CAMHDA301-20151124T180000Z.mov,d2_p2_z0,4041,4241,4141
98,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/24/CAMHDA301-20151124T180000Z.mov,d2_p2_z0,4311,4391,4351
99,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/24/CAMHDA301-20151124T210000Z.mov,d2_p2_z0,2671,2781,2726
100,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/24/CAMHDA301-20151124T210000Z.mov,d2_p2_z0,4001,4171,4086
101,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/24/CAMHDA301-20151124T210000Z.mov,d2_p2_z0,4251,4361,4306
102,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T000000Z.mov,d2_p2_z0,2531,2581,2556
103,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T000000Z.mov,d2_p2_z0,2701,2811,2756
104,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T000000Z.mov,d2_p2_z0,4031,4241,4136
105,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T000000Z.mov,d2_p2_z0,4341,4381,4361
106,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T030000Z.mov,d2_p2_z0,2511,2551,2531
107,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T030000Z.mov,d2_p2_z0,2651,2761,2706
108,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T030000Z.mov,d2_p2_z0,3981,4161,4071
109,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T030000Z.mov,d2_p2_z0,4251,4341,4296
110,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T060000Z.mov,d2_p2_z0,2461,2551,2506
111,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T060000Z.mov,d2_p2_z0,2601,2711,2656
112,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T060000Z.mov,d2_p2_z0,3931,4141,4036
113,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T060000Z.mov,d2_p2_z0,4201,4291,4246
114,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T090000Z.mov,d2_p2_z0,2541,2581,2561
115,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T090000Z.mov,d2_p2_z0,2671,2781,2726
116,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T090000Z.mov,d2_p2_z0,4001,4211,4106
117,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T090000Z.mov,d2_p2_z0,4281,4361,4321
118,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T120000Z.mov,d2_p2_z0,2541,2621,2581
119,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T120000Z.mov,d2_p2_z0,2671,2791,2731
120,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T120000Z.mov,d2_p2_z0,4011,4221,4116
121,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T120000Z.mov,d2_p2_z0,4281,4361,4321
122,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T150000Z.mov,d2_p2_z0,2521,2581,2551
123,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/25/CAMHDA301-20151125T150000Z.mov,d2_p2_z0,2671,2781,2726
